Acupoint_Code,Relation,English_Name
LU-1,hasenglishname,Middle Assembly
LU-2,hasenglishname,Cloud Gate
LU-3,hasenglishname,Upper Arm Assembly
LU-4,hasenglishname,Supporting the Lung
LU-5,hasenglishname,Cubit Marsh
LU-6,hasenglishname,Collection Hole
LU-7,hasenglishname,Interrupted Sequence
LU-8,hasenglishname,Channel Ditch
LU-9,hasenglishname,Great Deep Pool
LU-10,hasenglishname,Fish Border
LU-11,hasenglishname,Lesser Metal
LI-1,hasenglishname,Metal Yang
LI-2,hasenglishname,Second Point
LI-3,hasenglishname,Third Point
LI-4,hasenglishname,Junction Valley
LI-5,hasenglishname,Yang Stream
LI-6,hasenglishname,Diverging Passage
LI-7,hasenglishname,Warm Flow
LI-8,hasenglishname,Lower Point at the Border
LI-9,hasenglishname,Upper Point at the Border
LI-10,hasenglishname,Arm Three Miles
LI-11,hasenglishname,Pool at the Bend
LI-12,hasenglishname,Elbow Bone Hole
LI-13,hasenglishname,Arm Five Miles
LI-14,hasenglishname,Upper Arm
LI-15,hasenglishname,Shoulder and Clavicle
LI-16,hasenglishname,Large Bone
LI-17,hasenglishname,Head's Tripod
LI-18,hasenglishname,Beside the Prominence
LI-19,hasenglishname,Mouth Grain Hole
LI-20,hasenglishname,Receiving Fragrance
ST-1,hasenglishname,Tears Container
ST-2,hasenglishname,Four Directions Brightness
ST-3,hasenglishname,Large Bone Hole
ST-4,hasenglishname,Earth Granary
ST-5,hasenglishname,Large Receptacle (Facial Artery)
ST-6,hasenglishname,Jaw Bone
ST-7,hasenglishname,Below the Arch
ST-8,hasenglishname,Head's Corner
ST-9,hasenglishname,Man'sPrognosis (Carotid Artery)
ST-10,hasenglishname,Liquid Passage
ST-11,hasenglishname,Residence of Breath Qi
ST-12,hasenglishname,Empty Basin
ST-13,hasenglishname,Door of Breath
ST-14,hasenglishname,Breath Storeroom
ST-15,hasenglishname,Hiding the Breath
ST-16,hasenglishname,Breast Window
ST-17,hasenglishname,Breast Centre (Nipple)
ST-18,hasenglishname,Breast Root
ST-19,hasenglishname,Not Contained
ST-20,hasenglishname,Receiving Fullness
ST-21,hasenglishname,Beam Gate
ST-22,hasenglishname,Shutting the Gate
ST-23,hasenglishname,Great Unity
ST-24,hasenglishname,Chime Gate
ST-25,hasenglishname,Heavenly Pivot
ST-26,hasenglishname,Outer Mound
